Version: 2,,,,,,,
ID,Suffix,fart,frac,fta0,ftat,ftip,fube
BP4J,BHad,"""ReplaceableTextures\\CommandButtons\\BTNCryptFiendBurrow.blp""",,"""""","""""","""钻地""","""地穴刺客钻入地下，处于隐身状态中"""
BP4K,BHad,"""ReplaceableTextures\\CommandButtons\\BTNWindWalkOn.blp""",,"""""","""""","""复仇""","""增加移动速度，处于隐身状态中"""
BP4L,BHad,"""ReplaceableTextures\\CommandButtons\\BTNCarrionSwarm.blp""",,"""""","""""","""|cffff3300蝗虫群|r""","""该单位被幼虫缠住了，护甲值减少了"""
BP4M,BHad,"""ReplaceableTextures\\CommandButtons\\BTNWeaverShukuchi.blp""",,"""""","""""","""缩地""","""地穴编织者钻入地下，提升至极限速度，减速对其无效，处于隐身状态中，移动能穿透其他单位"""
BP4N,BHad,"""ReplaceableTextures\\CommandButtons\\BTNWeaverShukuchi.blp""",,"""""","""""","""|cffff3300缩地|r""","""该单位受到了缩地的伤害"""
BP4O,BHad,"""ReplaceableTextures\\CommandButtons\\BTNThoriumRanged.blp""",,"""""","""""","""|cffff3300窒息之刃|r""","""被减速了"""
BP4P,BHad,"""ReplaceableTextures\\CommandButtons\\BTNBearBlink.blp""",,"""""","""""","""幻影突袭""","""该单位处于对目标的愤怒中，攻击更迅速"""
BP4Q,BHad,"""ReplaceableTextures\\CommandButtons\\BTNPABlur.blp""",,"""""","""""","""模糊""","""该单位处于半透明的模糊状态，难以被击中"""
BP4R,BHad,"""ReplaceableTextures\\CommandButtons\\BTNAbility_Spectral_Dagger.blp""",,"""""","""""","""|cffff3300幽鬼之刃|r""","""该单位被幽鬼的匕首击中了，被减速了"""
BP4S,BHad,"""ReplaceableTextures\\CommandButtons\\BTNAbility_Spectral_Dagger.blp""",,"""""","""""","""幽鬼之刃""","""增加移动速度，能自由的行走在这个世界"""
BP4T,BHad,"""ReplaceableTextures\\CommandButtons\\BTNRegenerationAura.blp""",,"""""","""""","""|cffff3300魔王降临|r""","""受到了魔王的惊吓，护甲值减少了"""
BP4U,BHad,"""ReplaceableTextures\\CommandButtons\\BTNDizzy.blp""",,"""""","""""","""|cffff3300魂之挽歌|r""","""被减速了，行动更缓慢了"""
BP4V,BHad,"""ReplaceableTextures\\CommandButtons\\BTNSpiderGreen.blp""",,"""""","""""","""|cffff3300孵化蜘蛛|r""","""该单位被育母蜘蛛感染"""
BP4W,BHad,"""ReplaceableTextures\\CommandButtons\\BTNSpiderGreen.blp""",,"""""","""""","""|cffff3300孵化寄生蛛|r""","""该单位被幼蛛感染"""
BP4X,BHad,"""ReplaceableTextures\\CommandButtons\\BTNWeb.blp""",,"""""","""""","""织网""","""该单位隐匿于蛛网中，处于隐身状态中，增加移动速度，生命回复速度提升，能自由的行走在这个世界"""
BP4Y,BHad,"""ReplaceableTextures\\CommandButtons\\BTNWeb.blp""",,"""""","""""","""织网-无视地形""","""获得无视地形移动的效果"""
BP4Z,BHad,"""ReplaceableTextures\\CommandButtons\\BTNRedDragonDevour.blp""",,"""""","""""","""|cffff3300麻痹之咬|r""","""该单位被育母蜘蛛攻击了，被减速了，难以击中目标"""
BP50,BHad,"""ReplaceableTextures\\CommandButtons\\BTNspiderling.blp""",,"""""","""""","""极度饥渴""","""该单位在极度饥饿的驱使下，，攻击时带有吸血功能"""
BP51,BHad,"""ReplaceableTextures\\CommandButtons\\BTNEnvenomedSpear.blp""",,"""""","""""","""|cffff3300毒刺攻击|r""","""该单位被幼蛛攻击了，被减速了，持续受到伤害"""
BP52,BHad,"""ReplaceableTextures\\CommandButtons\\BTNClinkzStrafe.blp""",,"""""","""""","""扫射""","""攻击更迅速"""
BP53,BHad,"""ReplaceableTextures\\CommandButtons\\BTNWindWalkOn.blp""",,"""""","""""","""疾风步""","""增加移动速度，处于隐身状态中"""
BP54,BHad,"""ReplaceableTextures\\CommandButtons\\BTNDeathPact.blp""",,"""""","""""","""死亡契约""","""增加攻击力，增加了生命值"""
BP55,BHad,"""ReplaceableTextures\\CommandButtons\\BTNPurge.blp""",,"""""","""""","""|cffff3300乱流|r""","""被减速了"""
BP56,BHad,"""ReplaceableTextures\\CommandButtons\\BTNMagneticField.blp""",,"""""","""""","""磁场""","""攻击更迅速，难以被击中"""
BP57,BHad,"""ReplaceableTextures\\CommandButtons\\BTNTimewalk.blp""",,"""""","""""","""|cffff3300时间漫游|r""","""被减速了"""
BP58,BHad,"""ReplaceableTextures\\CommandButtons\\BTNTimelock.blp""",,"""""","""""","""|cffff3300时间锁定|r""","""被眩晕了"""
BP59,BHad,"""ReplaceableTextures\\CommandButtons\\BTNChronosphere.blp""",,"""""","""""","""|cffff3300时间结界|r""","""该单位被锁定了，被眩晕了"""
BP5A,BHad,"""ReplaceableTextures\\CommandButtons\\BTNSplitShot.blp""",,"""""","""""","""开启分裂箭""","""该单位攻击带有分裂"""
BP5B,BHad,"""ReplaceableTextures\\CommandButtons\\BTNNeutralManaShield.blp""",,"""""","""""","""魔法护盾""","""该单位拥有魔法护盾，能够在一段时间内抵挡物理伤害和有害魔法。"""
BP5C,BHad,"""ReplaceableTextures\\CommandButtons\\BTNStoneGazeNew.blp""",,"""""","""""","""|cffff3300石化凝视|r""","""转身变得很难，被减速了，行动更缓慢了"""
BP5D,BHad,"""ReplaceableTextures\\CommandButtons\\BTNStoneGazeNew.blp""",,"""""","""""","""|cffff3300石化|r""","""该单位被石化了，，被眩晕了"""
BP5E,BHad,"""ReplaceableTextures\\CommandButtons\\BTNUnstableCurrent.blp""",,"""""","""""","""不稳定电流""","""该单位拥有不稳定电流，，增加移动速度"""
BP5F,BHad,"""ReplaceableTextures\\CommandButtons\\BTNMonsoon.blp""",,"""""","""""","""风暴之眼""","""用致命的雷电打击弱小的敌人"""
BP5G,BHad,"""ReplaceableTextures\\CommandButtons\\BTNOrbOfDarkness.blp""",,"""""","""""","""黑暗契约""","""清除负面状态并对自己和周围敌方单位造成伤害"""
BP5H,BHad,"""ReplaceableTextures\\CommandButtons\\BTNScatterRockets.blp""",,"""""","""""","""能量转移""","""增加敏捷"""
BP5I,BHad,"""ReplaceableTextures\\CommandButtons\\BTNScatterRockets.blp""",,"""""","""""","""|cffff3300能量转移|r""","""所有属性都减少了"""
BP5J,BHad,"""ReplaceableTextures\\CommandButtons\\BTNAuraOfDarkness.blp""",,"""""","""""","""鱼人夜行者""","""生命回复速度提升，增加移动速度"""
BP5K,BHad,"""ReplaceableTextures\\CommandButtons\\BTNShadowDance.blp""",,"""""","""""","""暗影之舞""","""处于绝对隐身状态，没有任何反隐都不能将其现形"""
BP5L,BHad,"""ReplaceableTextures\\CommandButtons\\BTNWhirlwind.blp""",,"""""","""""","""剑刃风暴""","""舞起剑刃风暴！"""
BP5M,BHad,"""ReplaceableTextures\\CommandButtons\\BTNHealingWard.blp""",,"""""","""""","""治疗守卫""","""正在被治疗守卫治疗，生命回复速度提升"""
BP5N,BHad,"""ReplaceableTextures\\CommandButtons\\BTNBladeDance.blp""",,"""""","""""","""剑舞""","""概率造成倍数伤害"""
BP5O,BHad,"""ReplaceableTextures\\CommandButtons\\BTNEnsnare.blp""",,"""""","""""","""|cffff3300诱捕|r""","""无法移动和使用位移技能"""
BP5P,BHad,"""ReplaceableTextures\\CommandButtons\\BTNRipTide.blp""",,"""""","""""","""|cffff3300激流|r""","""护甲值减少了"""
BP5Q,BHad,"""ReplaceableTextures\\CommandButtons\\BTNPenguin.blp""",,"""""","""""","""海妖之歌""","""该单位受到娜迦海妖的魔法，，处于睡眠状态"""
BP5R,BHad,"""ReplaceableTextures\\CommandButtons\\BTNOrcMeleeUpThree.blp""",,"""""","""""","""狂战士之怒""","""攻击带有重击，增加攻击力"""
BP5S,BHad,"""ReplaceableTextures\\CommandButtons\\BTNCommand.blp""",,"""""","""""","""热血战魂""","""专注于攻击一个敌人，攻击更迅速"""
BP5T,BHad,"""ReplaceableTextures\\CommandButtons\\BTNBerserkForTrolls.blp""",,"""""","""""","""战斗专注""","""攻击更迅速"""
BP5U,BHad,"""ReplaceableTextures\\CommandButtons\\BTNWindsArrows.blp""",,"""""","""""","""|cffff3300灵魂之矛|r""","""该单位被灵魂之矛击中了，被减速了"""
BP5V,BHad,"""ReplaceableTextures\\CommandButtons\\BTNPhantomEdge.blp""",,"""""","""""","""幻影冲锋""","""增加移动速度，移动能穿透其他单位"""
BP5W,BHad,"""ReplaceableTextures\\CommandButtons\\BTNJuxtapose.blp""",,"""""","""""","""并列""","""该单位在攻击中有机会制造自己的幻象。"""
BP5X,BHad,"""ReplaceableTextures\\CommandButtonsDisabled\\DISBTNOvergrowth.blp""",,"""""","""""","""熊灵-缠绕""","""无法移动和使用位移技能"""
BP5Y,BHad,"""ReplaceableTextures\\CommandButtons\\BTNDemolish.blp""",,"""""","""""","""熊灵-粉碎击""","""攻击建筑的伤害增加"""
BP5Z,BHad,"""ReplaceableTextures\\CommandButtons\\BTNDOCMasterTraining.blp""",,"""""","""""","""狂猛""","""该单位疯狂执着于战斗，移动速度、攻击速度得到了提升"""
BP60,BHad,"""ReplaceableTextures\\CommandButtons\\BTN_SyllaSynergy.BLP""",,"""""","""""","""|cffff3300野蛮咆哮|r""","""被恐惧了，疯狂逃窜"""
BP61,BHad,"""ReplaceableTextures\\CommandButtons\\BTNBattleRoar.blp""",,"""""","""""","""战斗吼叫""","""该单位被战斗后脚祝福，增加护甲，增加攻击力"""
BP62,BHad,"""ReplaceableTextures\\CommandButtons\\BTNStarfall.blp""",,"""""","""""","""群星坠落""","""一段时间无代价施法一次群星坠落"""
BP63,BHad,"""ReplaceableTextures\\CommandButtons\\BTNImprovedStrengthOfTheMoon.blp""",,"""""","""""","""|cffff3300月神之箭|r""","""被眩晕了"""
BP64,BHad,"""ReplaceableTextures\\CommandButtons\\BTNAdvancedStrengthOfTheWild.blp""",,"""""","""""","""跳跃""","""该单位由于霜虎之吼，移动速度、攻击速度得到了提升"""
BP65,BHad,"""ReplaceableTextures\\CommandButtons\\BTNAmbush.blp""",,"""""","""""","""月之暗面""","""处于隐身状态中"""
BP66,BHad,"""ReplaceableTextures\\CommandButtons\\BTNMoonStone.blp""",,"""""","""""","""|cffff3300月光|r""","""被眩晕了"""
BP67,BHad,"""ReplaceableTextures\\CommandButtons\\BTNAdvancedStrengthOfTheMoon.blp""",,"""""","""""","""月之祝福""","""该单位受到了月之祝福，增加攻击力"""
BP68,BHad,"""ReplaceableTextures\\CommandButtons\\BTNElunesBlessing.blp""",,"""""","""""","""月蚀""","""被月亮守护施放多道月光"""
BP69,BHad,"""ReplaceableTextures\\CommandButtons\\BTNFragmentationBombs.blp""",,"""""","""""","""|cffff3300榴霰弹|r""","""该单位被榴霰弹集中了，被减速了，持续受到伤害"""
BP6A,BHad,"""ReplaceableTextures\\CommandButtons\\BTNHumanMissileUpOne.blp""",,"""""","""""","""|cffff3300爆头|r""","""被减速了，行动更缓慢了"""
BP6B,BHad,"""ReplaceableTextures\\CommandButtons\\BTNHumanMissileUpTwo.blp""",,"""""","""""","""瞄准""","""增加了攻击距离"""
BP6C,BHad,"""ReplaceableTextures\\CommandButtons\\BTNDwarvenLongRifle.blp""",,"""""","""""","""暗杀""","""该单位即将被暗杀"""
BP6D,BHad,"""ReplaceableTextures\\CommandButtons\\BTNFlakCannons.blp""",,"""""","""""","""火箭弹幕""","""发射导弹群"""
BP6E,BHad,"""ReplaceableTextures\\CommandButtons\\BTNFragmentationBombs.blp""",,"""""","""""","""高射火炮""","""火力全开！攻击目标范围内的所有敌方单位"""
BP6F,BHad,"""ReplaceableTextures\\CommandButtons\\BTNCalldown.blp""",,"""""","""""","""|cffff3300召唤飞弹|r""","""被减速了"""
BP6G,BHad,"""ReplaceableTextures\\CommandButtons\\BTNCloudOfFog.blp""",,"""""","""""","""|cffff3300烟幕|r""","""该单位被烟幕包围，无法施法，被减速了，难以击中目标，转身变得很难"""
BP6H,BHad,"""ReplaceableTextures\\CommandButtons\\BTNRikiINV.blp""",,"""""","""""","""永久隐身""","""处于隐身中"""
BP6I,BHad,"""ReplaceableTextures\\CommandButtons\\BTN_HeroMonkeyking_W.blp""",,"""""","""""","""丛林之舞""","""站在树上，不会被敌方看见，除非该树木被摧毁"""
BP6J,BHad,"""replaceabletextures\\commandbuttons\\BTN_HeroMonkeyking_E.blp""",,"""""","""""","""|cffff3300乾坤之跃|r""","""被减速了"""
BP6K,BHad,"""ReplaceableTextures\\CommandButtons\\BTN_HeroMonkeyking_F2.blp""",,"""""","""""","""|cffff3300如意棒法|r""","""受到如意棒法攻击"""
BP6L,BHad,"""ReplaceableTextures\\CommandButtons\\BTN_HeroMonkeyking_F2.blp""",,"""""","""""","""如意棒法""","""下次攻击获得吸血和攻击力加成"""
BP6M,BHad,"""ReplaceableTextures\\CommandButtons\\BTNColdArrows.blp""",,"""""","""""","""|cffff3300霜冻之箭|r""","""被减速了"""
BP6N,BHad,"""ReplaceableTextures\\CommandButtons\\BTNDrowSilence.blp""",,"""""","""""","""|cffff3300阵风|r""","""无法施法，处于击退的作用中"""
BP6O,BHad,"""ReplaceableTextures\\CommandButtons\\BTNTrueShot.blp""",,"""""","""""","""强击光环""","""该单位获得强击光环的效果，远程攻击将被加强。，增加攻击力"""
BP6P,BHad,"""ReplaceableTextures\\CommandButtons\\BTNMarksmanship.blp""",,"""""","""""","""射手天赋""","""简单点加敏捷的方式简单点"""
BP6Q,BHad,"""ReplaceableTextures\\CommandButtons\\BTNRefraction.blp""",,"""""","""""","""折光""","""在接下来的几次攻击中，攻击力将得到提升。"""
BP6R,BHad,"""ReplaceableTextures\\CommandButtons\\BTNRefraction.blp""",,"""""","""""","""折光""","""可以抵挡下几次受到的伤害。"""
BP6S,BHad,"""ReplaceableTextures\\CommandButtons\\BTNWardenHide.blp""",,"""""","""""","""隐匿""","""该单位隐匿了，处于隐身状态中"""
BP6T,BHad,"""ReplaceableTextures\\CommandButtons\\BTNVorpal.blp""",,"""""","""""","""灵能之刃""","""提升了自身的攻击距离，同时攻击带有分裂"""
BP6U,BHad,"""ReplaceableTextures\\CommandButtons\\BTNTrap.blp""",,"""""","""""","""|cffff3300灵能陷阱|r""","""被减速了"""
BP6V,BHad,"""ReplaceableTextures\\CommandButtons\\BTNHowlOfTerror.blp""",,"""""","""""","""|cffff3300恐怖波动|r""","""护甲值减少了"""
BP6W,BHad,"""ReplaceableTextures\\CommandButtons\\BTNGnollCommandAura.blp""",,"""""","""""","""命令光环""","""百分比增加基础攻击力"""
BP6X,BHad,"""ReplaceableTextures\\CommandButtons\\BTNGnollCommandAura.blp""",,"""""","""""","""|cffff3300命令光环|r""","""击杀复仇之魂留下的后遗症"""
BP6Y,BHad,"""ReplaceableTextures\\CommandButtons\\BTNSearingChains.blp""",,"""""","""""","""|cffff3300烧灼锁链|r""","""无法移动和使用位移技能"""
BP6Z,BHad,"""ReplaceableTextures\\CommandButtons\\BTNFlameGuard.blp""",,"""""","""""","""火焰壁垒""","""该单位处于火焰堡垒的保护下，可以抵挡一定量的法术攻击伤害。"""
BP70,BHad,"""ReplaceableTextures\\CommandButtons\\BTNEarthquake.blp""",,"""""","""""","""|cffff3300震撼大地|r""","""被减速了"""
BP71,BHad,"""ReplaceableTextures\\CommandButtons\\BTNBloodLust.blp""",,"""""","""""","""超强力量""","""攻击更迅速"""
BP72,BHad,"""ReplaceableTextures\\CommandButtons\\BTNFurySwipes.blp""",,"""""","""""","""|cffff3300怒意狂击|r""","""受到比上次攻击更多的伤害"""
BP73,BHad,"""ReplaceableTextures\\CommandButtons\\BTNImprovedStrengthOfTheWild.blp""",,"""""","""""","""激怒""","""该单位被激怒了。"""
BP74,BHad,"""ReplaceableTextures\\passivebuttons\\PASBTN_HeroJingKe_E.blp""",,"""""","""""","""开颅短刀""","""该单位下次攻击将获得额外攻击力和暴击。"""
BP75,BHad,"""ReplaceableTextures\\CommandButtons\\BTN_HeroJingKe_R.blp""",,"""""","""""","""|cffff3300图穷匕见r|""","""被减速了"""
BP76,BHad,"""ReplaceableTextures\\CommandButtons\\BTNJinada.blp""",,"""""","""""","""忍术""","""能精准地打击并残废目标，概率造成倍数伤害，被减速了，行动更缓慢了"""
BP77,BHad,"""ReplaceableTextures\\CommandButtons\\BTNJinada.blp""",,"""""","""""","""|cffff3300忍术|r""","""被减速了，行动更缓慢了"""
BP78,BHad,"""ReplaceableTextures\\CommandButtons\\BTNWindWalkOn.blp""",,"""""","""""","""疾风步""","""处于隐身状态中"""
BP79,BHad,"""ReplaceableTextures\\CommandButtons\\BTNTrack.blp""",,"""""","""""","""|cffff3300追踪术|r""","""该单位正在被跟踪。"""
BP7A,BHad,"""ReplaceableTextures\\CommandButtons\\BTNGlacier.blp""",,"""""","""""","""|cffff3300霜冻新星|r""","""该单位被缓慢了，被减速了，行动更缓慢了"""
BP7B,BHad,"""ReplaceableTextures\\CommandButtons\\BTNFrostArmor.blp""",,"""""","""""","""霜冻护甲""","""处于霜冻护甲的作用下，攻击该单位会被减速，减少受到伤害"""
BP7C,BHad,"""ReplaceableTextures\\CommandButtons\\BTNFrostArmor.blp""",,"""""","""""","""|cffff3300霜冻护甲|r""","""被减速了"""
BP7D,BHad,"""ReplaceableTextures\\CommandButtons\\BTNManaDrain.blp""",,"""""","""""","""法力汲取""","""处于法力汲取的作用中"""
BP7E,BHad,"""ReplaceableTextures\\CommandButtons\\BTNPicture12.blp""",,"""""","""""","""|cffff3300崩裂禁锢|r""","""处于崩裂禁锢的作用中，这时你是无敌的"""
BP7F,BHad,"""ReplaceableTextures\\CommandButtons\\BTNSoulCatcher.blp""",,"""""","""""","""|cffff3300灵魂猎手|r""","""处于灵魂猎手的作用中"""
BP7G,BHad,"""ReplaceableTextures\\CommandButtons\\BTNShadowPoison.blp""",,"""""","""""","""|cffff3300暗影剧毒|r""","""处于暗影剧毒的作用中"""
BP7H,BHad,"""ReplaceableTextures\\CommandButtons\\BTNDemonicPurge.blp""",,"""""","""""","""|cffff3300邪恶魔法|r""","""该单位被净化，所有魔法效果被移除，并且移动速度被减慢一段时间"""
BP7I,BHad,"""ReplaceableTextures\\CommandButtons\\BTNDemonicPurge.blp""",,"""""","""""","""|cffff3300邪恶魔法|r""","""该单位被净化，所有魔法效果被移除，并且移动速度被减慢一段时间"""
BP7J,BHad,"""ReplaceableTextures\\CommandButtons\\BTNFatalBonds.blp""",,"""""","""""","""|cffff3300致命连接|r""","""在致命连接的作用下，该单位要承担其他被连接单位的一部分伤害"""
BP7K,BHad,"""ReplaceableTextures\\CommandButtons\\BTNSpell_Shadow_ShadowWordPain.blp""",,"""""","""""","""暗言术""","""该单位被施了暗言术，友方单位将持续恢复生命，敌方单位将持续受到伤害；不能被净化"""
BP7L,BHad,"""ReplaceableTextures\\CommandButtons\\BTNUnsummonBuilding.blp""",,"""""","""""","""|cffff3300剧变|r""","""被减速了"""
BP7M,BHad,"""ReplaceableTextures\\CommandButtons\\BTNImmolationOn.blp""",,"""""","""""","""地狱火-永久献祭""","""处于永久献祭的状态中"""
BP7N,BHad,"""ReplaceableTextures\\CommandButtons\\BTNSilence.blp""",,"""""","""""","""|cffff3300沉默魔法|r""","""无法施法"""
BP7O,BHad,"""ReplaceableTextures\\CommandButtons\\btnkrobwitchcraft.blp""",,"""""","""""","""|cffff3300吸魂巫术|r""","""要被榨干了，被减速了"""
BP7P,BHad,"""ReplaceableTextures\\CommandButtons\\BTNExorcism.blp""",,"""""","""""","""驱使恶灵""","""释放恶灵，自动攻击"""
BP7Q,BHad,"""ReplaceableTextures\\CommandButtons\\BTNOrbOfCorruption.blp""",,"""""","""""","""施虐之心""","""该单位喜欢虐待，杀死单位正在恢复魔法和生命"""
BP7R,BHad,"""ReplaceableTextures\\CommandButtons\\BTNSpell_Holy_SealOfRighteousness.blp""",,"""""","""""","""|cffff3300竭心光环|r""","""该单位受到竭心光环作用，持续受到伤害"""
BP7S,BHad,"""ReplaceableTextures\\CommandButtons\\BTNReapersScythe.blp""",,"""""","""""","""|cffff3300死神镰刀|r""","""该单位转瞬即逝"""
BP7T,BHad,"""ReplaceableTextures\\CommandButtons\\BTNCripple.blp""",,"""""","""""","""衰老""","""单位变得气化了，无法攻击它"""
BP7U,BHad,"""ReplaceableTextures\\CommandButtons\\BTNEntrapmentWard.blp""",,"""""","""""","""幽冥守卫""","""被冥灵守卫作用降低技能伤害"""
BP7V,BHad,"""ReplaceableTextures\\CommandButtons\\BTNLifeDrain.blp""",,"""""","""""","""生命汲取""","""处于生命汲取的作用中"""
BP7W,BHad,"""ReplaceableTextures\\CommandButtons\\BTNShadowStrike.blp""",,"""""","""""","""|cffff3300暗影突袭|r""","""该单位遭到了暗影突袭，持续受到伤害，被减速了"""
BP7X,BHad,"""ReplaceableTextures\\CommandButtons\\BTNWandOfShadowSight.blp""",,"""""","""""","""|cffff3300噩梦|r""","""该单位受到了噩梦的侵扰，如果他遭到了攻击，那么噩梦效果将会转移到攻击者身上"""
BP7Y,BHad,"""ReplaceableTextures\\CommandButtons\\BTNAmuletOftheWild.blp""",,"""""","""""","""|cffff3300恶魔的掌握|r""","""该单位正在受到严重伤害，且无法移动或攻击"""
BP7Z,BHad,"""ReplaceableTextures\\CommandButtons\\BTNMalefice.blp""",,"""""","""""","""|cffff3300憎恶|r""","""被眩晕了"""
BP80,BHad,"""ReplaceableTextures\\CommandButtons\\BTNGenericSpellImmunity.blp""",,"""""","""""","""|cffff3300黑洞|r""","""该单位处于黑洞的控制中，被眩晕了"""
BP81,BHad,"""ReplaceableTextures\\CommandButtons\\BTNSpell_Shadow_Haunting.blp""",,"""""","""""","""离子外壳""","""用一面尖刺之盾包围起来，对周围的敌人造成伤害"""
BP82,BHad,"""ReplaceableTextures\\CommandButtons\\BTNSpell_Nature_AstralRecal.blp""",,"""""","""""","""奔腾""","""提示至极限速度"""
BP83,BHad,"""ReplaceableTextures\\CommandButtons\\BTNOrbOfDeathOn.blp""",,"""""","""""","""秘法天球""","""增加智力"""
BP84,BHad,"""ReplaceableTextures\\CommandButtons\\BTNOrbOfDeathOn.blp""",,"""""","""""","""|cffff3300秘法天球|r""","""智力减少了"""
BP85,BHad,"""ReplaceableTextures\\CommandButtons\\BTNSpell_Shadow_AntiShadow.blp""",,"""""","""""","""星体禁锢""","""被星体禁锢作用"""
BP86,BHad,"""ReplaceableTextures\\CommandButtons\\BTNEssenceAura.blp""",,"""""","""""","""精气光环""","""该单位获得精气光环的效果，有一定几率在施法后恢复魔法"""
BP87,BHad,"""ReplaceableTextures\\CommandButtons\\BTNGuldanSkull.blp""",,"""""","""""","""恶魔敕令""","""范围内造成高额的物理伤害"""
BP88,BHad,"""ReplaceableTextures\\CommandButtons\\BTNLeshLightStorm.blp""",,"""""","""""","""|cffff3300闪电风暴|r""","""被减速了"""
BP89,BHad,"""ReplaceableTextures\\CommandButtons\\BTNShadeTrueSight.blp""",,"""""","""""","""激活脉冲新星""","""范围内造成高额的魔法伤害"""
BP8A,BHad,"""ReplaceableTextures\\CommandButtons\\BTNArcticSiege.blp""",,"""""","""""","""|cffff3300严寒烧灼|r""","""被烧灼作用，被减速了"""
BP8B,BHad,"""ReplaceableTextures\\CommandButtons\\BTNSplinterBlast.blp""",,"""""","""""","""|cffff3300碎裂冲击|r""","""被减速了"""
BP8C,BHad,"""ReplaceableTextures\\CommandButtons\\BTNColdEmbrace.blp""",,"""""","""""","""极寒之拥""","""获得高额护甲，被眩晕了"""
BP8D,BHad,"""ReplaceableTextures\\CommandButtons\\BTNWintersCurse.blp""",,"""""","""""","""|cffff3300寒冬诅咒|r""","""处于寒冬诅咒的作用中，强制攻击一个目标"""
BP8E,BHad,"""ReplaceableTextures\\CommandButtons\\BTNWintersCurse.blp""",,"""""","""""","""|cffff3300寒冬诅咒|r""","""处于寒冬诅咒的作用中，强制被攻击，被眩晕了"""
BP8F,BHad,"""ReplaceableTextures\\CommandButtons\\BTNBigBadVoodooSpell.blp""",,"""""","""""","""开启巫毒恢复术""","""在巫毒恢复术的作用下，生命回复速度提升"""
BP8G,BHad,"""ReplaceableTextures\\CommandButtons\\BTNShadowPact.blp""",,"""""","""""","""|cffff3300诅咒|r""","""受到诅咒的作用，每隔一段时间就会收到伤害"""
BP8H,BHad,"""ReplaceableTextures\\CommandButtons\\BTNINV_Wand_12.blp""",,"""""","""""","""|cffff3300剧毒之触|r""","""在之后会持续受到物理伤害，被减速了"""
BP8I,BHad,"""ReplaceableTextures\\CommandButtons\\BTNAnkh.blp""",,"""""","""""","""薄葬""","""在该效果作用下，这个单位不会死亡"""
BP8J,BHad,"""ReplaceableTextures\\CommandButtons\\BTNSpell_Shadow_ShadowWard.blp""",,"""""","""""","""|cffff3300编织|r""","""护甲值减少了"""
BP8K,BHad,"""ReplaceableTextures\\CommandButtons\\BTNSpell_Shadow_ShadowWard.blp""",,"""""","""""","""编织""","""增加护甲"""
BP8L,BHad,"""ReplaceableTextures\\CommandButtons\\BTNSoulAssumption.blp""",,"""""","""""","""灵魂超度""","""受到了超度影响，能造成伤害"""
BP8M,BHad,"""ReplaceableTextures\\CommandButtons\\BTNAntiMagicShell.blp""",,"""""","""""","""守墓人的斗篷""","""降低受到的物理和魔法伤害"""
BP8N,BHad,"""ReplaceableTextures\\CommandButtons\\BTNStoneForm.blp""",,"""""","""""","""佣兽-石化形态""","""被石化了"""
BP8O,BHad,"""ReplaceableTextures\\CommandButtons\\BTNFreezingBreath.blp""",,"""""","""""","""|cffff3300寒冰之墙|r""","""该单位被冻住了，移动非常缓慢，被减速了，持续受到伤害"""
BP8P,BHad,"""ReplaceableTextures\\CommandButtons\\BTNManaShield.blp""",,"""""","""""","""幽灵漫步""","""处于幽灵漫步的状态，降低周围敌方单位的移动速度，处于隐身状态中"""
BP8Q,BHad,"""ReplaceableTextures\\CommandButtons\\BTNManaShield.blp""",,"""""","""""","""|cffff3300幽灵漫步|r""","""被减速了"""
BP8R,BHad,"""ReplaceableTextures\\CommandButtons\\BTNSpell_Nature_EarthBind.blp""",,"""""","""""","""|cffff3300强袭飓风|r""","""被吹起来了"""
BP8S,BHad,"""ReplaceableTextures\\CommandButtons\\BTNLament.blp""",,"""""","""""","""|cffff3300急速冷却|r""","""该单位被攻击会被晕眩"""
BP8T,BHad,"""ReplaceableTextures\\CommandButtons\\BTNFireRocks.blp""",,"""""","""""","""|cffff3300混沌陨石|r""","""陨石很烫，持续受到伤害"""
BP8U,BHad,"""ReplaceableTextures\\CommandButtons\\BTNAnimalWarTraining.blp""",,"""""","""""","""灵动迅捷""","""该单位变得灵动，增加攻击力，攻击更迅速"""
BP8V,BHad,"""ReplaceableTextures\\CommandButtons\\BTNLocustSwarm.blp""",,"""""","""""","""|cffff3300黏性燃油|r""","""该单位被黏性燃油击中，转身速度将会降低，并且受到蝙蝠骑士的打击时会受到额外的伤害，被减速了"""
BP8W,BHad,"""ReplaceableTextures\\CommandButtons\\BTNFlamebreak.blp""",,"""""","""""","""|cffff3300烈焰破击|r""","""被燃烧弹炸过的单位，持续受到伤害"""
BP8X,BHad,"""ReplaceableTextures\\CommandButtons\\BTNFirefly.blp""",,"""""","""""","""火焰飞行""","""放火！起飞！"""
BP8Y,BHad,"""ReplaceableTextures\\CommandButtons\\BTNMagicLariet.blp""",,"""""","""""","""|cffff3300燃烧枷锁|r""","""该单位被燃烧枷锁所束缚"""
BP8Z,BHad,"""ReplaceableTextures\\CommandButtons\\BTNColdFeet.blp""",,"""""","""""","""|cffff3300寒霜之足|r""","""如果该单位没有在4秒内远离740距离以上，将受到伤害并被冰封"""
BP90,BHad,"""ReplaceableTextures\\CommandButtons\\BTNIceVortex.blp""",,"""""","""""","""|cffff3300冰霜漩涡|r""","""该单位被冰霜漩涡困住了，魔法抗性暂时被降低，被减速了"""
